Epoch3/200 | Loss: 0.21147465558795775 | AUC: 0.11862857142857143
Epoch4/200 | Loss: 0.2106208888322229 | AUC: 0.11771428571428572
Epoch5/200 | Loss: 0.2097817594257993 | AUC: 0.11862857142857143
Epoch6/200 | Loss: 0.20900503792868247 | AUC: 0.11428571428571428
Epoch7/200 | Loss: 0.20823378488804029 | AUC: 0.11874285714285714
Epoch8/200 | Loss: 0.20752098627027976 | AUC: 0.11451428571428571
Epoch9/200 | Loss: 0.20680235736330796 | AUC: 0.11428571428571428
Epoch10/200 | Loss: 0.20610698463803595 | AUC: 0.11382857142857143
Epoch1/200 | Loss: 0.2599025536131152 | AUC: 0.8402666666666667
Epoch2/200 | Loss: 0.2585125089500319 | AUC: 0.8685333333333334
Epoch3/200 | Loss: 0.2574123873084703 | AUC: 0.8777333333333334
Epoch4/200 | Loss: 0.2564869667404108 | AUC: 0.8761333333333333
Epoch5/200 | Loss: 0.25566017690566795 | AUC: 0.8754666666666666
Epoch6/200 | Loss: 0.25493090292809517 | AUC: 0.8736
Epoch7/200 | Loss: 0.2542585872731308 | AUC: 0.8710666666666667
Epoch8/200 | Loss: 0.2536012015719961 | AUC: 0.8709333333333333
Epoch9/200 | Loss: 0.25299276583115593 | AUC: 0.8688
Epoch10/200 | Loss: 0.2523918764879649 | AUC: 0.8684
Epoch11/200 | Loss: 0.25181154261339267 | AUC: 0.8670666666666667
Epoch12/200 | Loss: 0.25123915380142414 | AUC: 0.8673333333333333
Epoch13/200 | Loss: 0.2506716648503082 | AUC: 0.8650666666666667
Epoch14/200 | Loss: 0.25011602765826807 | AUC: 0.8658666666666667
Epoch15/200 | Loss: 0.2495566057212423 | AUC: 0.8654666666666667
Epoch1/200 | Loss: 0.3016413167270581 | AUC: 0.8474666666666667
Epoch1/200 | Loss: 0.24647718000498794 | AUC: 0.8598666666666667
Epoch1/200 | Loss: 0.29315072879157383 | AUC: 0.6610666666666667
Epoch2/200 | Loss: 0.28413197394786843 | AUC: 0.6602666666666667
Epoch3/200 | Loss: 0.2765577886902586 | AUC: 0.6590666666666667
Epoch1/200 | Loss: 0.34340981268772164 | AUC: 0.1032
Epoch2/200 | Loss: 0.332812588846552 | AUC: 0.10373333333333333
Epoch3/200 | Loss: 0.3237064069925375 | AUC: 0.1024
Epoch4/200 | Loss: 0.31608643932541236 | AUC: 0.102
Epoch5/200 | Loss: 0.3097776112966809 | AUC: 0.10253333333333334
Epoch6/200 | Loss: 0.30456762534651394 | AUC: 0.1032
Epoch7/200 | Loss: 0.3002531167447886 | AUC: 0.10373333333333333
Epoch8/200 | Loss: 0.2967117807536822 | AUC: 0.1056
Epoch9/200 | Loss: 0.293748379915576 | AUC: 0.10626666666666666
Epoch10/200 | Loss: 0.29128428843234355 | AUC: 0.10746666666666667
Epoch11/200 | Loss: 0.2892183045910059 | AUC: 0.1076
Epoch12/200 | Loss: 0.2874365733876751 | AUC: 0.10786666666666667
Epoch13/200 | Loss: 0.28590197620886265 | AUC: 0.11
Epoch14/200 | Loss: 0.28455512793414034 | AUC: 0.1128
Epoch15/200 | Loss: 0.2833550616954941 | AUC: 0.1176
Epoch16/200 | Loss: 0.2822908232923831 | AUC: 0.1276
Epoch17/200 | Loss: 0.2812886927462852 | AUC: 0.16706666666666667
Epoch18/200 | Loss: 0.2803629255815965 | AUC: 0.22533333333333333
Epoch19/200 | Loss: 0.279482632823842 | AUC: 0.30346666666666666
Epoch20/200 | Loss: 0.2786622398109132 | AUC: 0.35
Epoch21/200 | Loss: 0.2778634696917501 | AUC: 0.36733333333333335
Epoch22/200 | Loss: 0.27710658226419244 | AUC: 0.372
Epoch23/200 | Loss: 0.2763623920844824 | AUC: 0.3726
Epoch24/200 | Loss: 0.2756333950375398 | AUC: 0.3748
Epoch25/200 | Loss: 0.2749153475711042 | AUC: 0.37546666666666667
Epoch26/200 | Loss: 0.2742091901867772 | AUC: 0.3781333333333333
